tipnames	nuts3_id	lon	lat
KY199558|NA|turdus_merula|DE|2016	DED21	13.7372621	51.0504088
MT133690|UV/BlackBird/Sweden/SVA190801SZ0368/VLT001567/2019|turdus_merula|SE|2019-08-01	SE213	16.6364773	56.6648948
MN122166|AS201600133|turdus_merula|NL|2016-09-23	NL213	7.0335926	52.2402256
MN122190|AS201700080|turdus_merula|NL|2017-07-05	NL310	5.2103806	52.1365344
MN122213|AS201700248|turdus_merula|NL|2017-09-20	NL33A	4.8336405	51.8324299
KY426751|NA|turdus_pilaris|DE|2015-09-01	DE715	8.6675419	49.6430169
KY426762|NA|turdus_merula|DE|2016-09-26	DE123	8.3980172	48.943208
KJ438767|NA|culex_sp|DE|2011-09-08	DE128	8.6621437	49.5125927
KJ438768|NA|culex_sp|DE|2013-08-22	DE125	8.6724335	49.3987524
KJ438771|NA|turdus_merula|DE|2013-05-05	DEB3C	8.1465788	49.5234449
KJ438774|NA|turdus_merula|DE|2012-09-04	DEB3I	8.308654	49.3656101
KJ438776|NA|turdus_merula|DE|2011-09-14	DEB3C	8.249941	49.5639625
KJ438778|NA|turdus_merula|DE|2011-09-19	DE717	8.4725075	49.8337676
NA|AS20190530|turdus_merula|NL|2019-08-19	NL310	5.470793	52.0060237
NA|AS20221798|turdus_merula|NL|2022-08-30	NL226	5.9732173	51.8746119
OP555956|NA|strix_nebulosa|BE|2017-07-10	NA	4.469936	50.503887
MK796168|AS201600070|strix_nebulosa|NL|2016-09-13	NA	5.291266	52.132633
KY315178|Gracula_religiosa/U1609393/Belgium/2016|gracula_religiosa|BE|2016-10-03	NA	4.469936	50.503887
OR573993|AS201700147|branta_ruficollis|NL|2017-08-15	NA	6.0608726	51.4427238
KY426763|NA|turdus_merula|DE|2016-09-24	NA	8.6511929	49.8728253
KY426769|NA|turdus_merula|DE|2016-09-20	NA	7.5889959	50.3569429
KJ438779|NA|turdus_merula|DE|2012-07-12	DEB3C	8.1694167	49.4614148
